class_name,relation,value,modifier
Agitator,Skills,Public Speaking,
Agitator,Skills,Read/Write,
Agitator,Career Exits,Charlatan,
Agitator,Career Exits,Demagogue,
Agitator,Career Exits,Outlaw,
Alchemists' Apprentice,Skills,Brewing,
Alchemists' Apprentice,Skills,Evaluate,
Alchemists' Apprentice,Skills,Read/Write,
Alchemists' Apprentice,Skills,Chemistry,50
Alchemists' Apprentice,Career Exits,Alchemist,level 1
Alchemists' Apprentice,Career Exits,Bawd,
Alchemists' Apprentice,Career Exits,Charlatan,
Alchemists' Apprentice,Career Exits,Counterfeiter,
Alchemists' Apprentice,Career Exits,Entertainer:Bunko Artist,
Alchemists' Apprentice,Career Exits,Grave Robber,
Alchemists' Apprentice,Career Exits,Prospector,
Artisans' Apprentice,Skills,Drive Cart,
Artisans' Apprentice,Skills,Very Resilient,25
Artisans' Apprentice,Skills,Read/Write,25
Artisans' Apprentice,Career Exits,Artisan,(same trade only)
Artisans' Apprentice,Career Exits,Bodyguard,
Artisans' Apprentice,Career Exits,Footpad,
Bawd,Skills,Bribery,
Bawd,Skills,Secret Language - Thieves' Tongue,
Bawd,Skills,Street Fighting,
Bawd,Skills,Wit,25
Bawd,Career Exits,Bodyguard,
Bawd,Career Exits,Fence,
Beggar,Skills,Begging,
Beggar,Skills,Concealment Urban,
Beggar,Skills,Secret Language - Thieves' Tongue,
Beggar,Skills,Secret Signs - Thieves' Signs,
Beggar,Skills,Silent Move Urban,
Beggar,Skills,Consume Alcohol,25
Beggar,Career Exits,Bodyguard,
Beggar,Career Exits,Racketeer,
Beggar,Career Exits,Rat Catcher,
Boatman,Skills,Fish,
Boatman,Skills,Orientation,
Boatman,Skills,River Lore,
Boatman,Skills,Row,
Boatman,Skills,Very Strong,50
Boatman,Skills,Consume Alcohol,25
Boatman,Skills,Boat Building,25
Boatman,Career Exits,Outlaw,
Boatman,Career Exits,Seaman,
Boatman,Career Exits,Smuggler,
Bodyguard,Skills,Disarm,
Bodyguard,Skills,Specialist Weapon - Fist Weapon,
Bodyguard,Skills,Street Fighting,
Bodyguard,Skills,Strike Mighty Blow,
Bodyguard,Skills,Strike to Stun,
Bodyguard,Skills,Very Strong,50
Bodyguard,Career Exits,Bounty Hunter,
Bodyguard,Career Exits,Footpad,
Bodyguard,Career Exits,Mercenary,
Bodyguard,Career Exits,Outlaw Chief,
Bounty Hunter,Skills,Follow Trail,
Bounty Hunter,Skills,Shadowing,
Bounty Hunter,Skills,Silent Move Rural,
Bounty Hunter,Skills,Silent Move Urban,
Bounty Hunter,Skills,Specialist Weapon - Lasso,
Bounty Hunter,Skills,Specialist Weapon - Net,
Bounty Hunter,Skills,Strike Mighty Blow,
Bounty Hunter,Skills,Marksmanship,50
Bounty Hunter,Career Exits,Assassin,
Bounty Hunter,Career Exits,Footpad,
Bounty Hunter,Career Exits,Mercenary,
Bounty Hunter,Career Exits,Protagonist,
Bounty Hunter,Career Exits,Slaver,
Bounty Hunter,Career Exits,Targeteer,
Coachman,Skills,Animal Care,
Coachman,Skills,Drive Cart,
Coachman,Skills,Musicianship - Coach-horn,
Coachman,Skills,Ride - Horse,
Coachman,Skills,Specialist Weapon - Firearms,
Coachman,Career Exits,Highwayman,
Coachman,Career Exits,Scout,
Druid,Skills,Animal Care,
Druid,Skills,Dowsing,
Druid,Skills,Follow Trail,
Druid,Skills,Identify Plants,
Druid,Skills,Secret Signs - Druid,
Druid,Career Exits,Druidic Priest,level 1
Druid,Career Exits,Gamekeeper,
Druid,Career Exits,Hunter,
Druid,Career Exits,Outlaw,
Druid,Career Exits,Trapper,
Druid,Career Exits,Woodsman,
Engineer,Skills,Carpentry,
Engineer,Skills,Drive Cart,
Engineer,Skills,Engineering,
Engineer,Skills,Read/Write,
Engineer,Skills,Secret Signs - Dwarven Engineer's Guild,
Engineer,Skills,Set Trap,
Engineer,Skills,Smithing,
Engineer,Skills,Spot Traps,
Engineer,Skills,Metallurgy,
Engineer,Career Exits,Alchemists' Apprentice,
Engineer,Career Exits,Artillerist,
Engineer,Career Exits,Artisan,(Carpenter or Stonemason)
Engineer,Career Exits,Gunner,
Engineer,Career Exits,Sapper,
Engineer,Career Exits,Tunnel Fighter,
Entertainer,Career Paths,Acrobat,
Entertainer,Career Paths,Actor,
Entertainer,Career Paths,Animal Act,
Entertainer,Career Paths,Bunko Artist,
Entertainer,Career Paths,Comic,
Entertainer,Career Paths,Escapologist,
Entertainer,Career Paths,Fire Eater,
Entertainer,Career Paths,Fortune Teller,
Entertainer,Career Paths,Hypnotist,
Entertainer,Career Paths,Impressionist,
Entertainer,Career Paths,Jester,
Entertainer,Career Paths,Juggler,
Entertainer,Career Paths,Knife Thrower,
Entertainer,Career Paths,Pavement Artist,
Entertainer,Career Paths,Poet,
Entertainer,Career Paths,Singer,
Entertainer,Career Paths,Strongman,
Entertainer,Career Paths,Tight Rope Walker,
Entertainer,Career Paths,Troubadour,
Entertainer,Career Paths,Ventriloquist,
Entertainer,Career Paths,Wrestler,
Entertainer:Acrobat,Skills,Acrobatics,
Entertainer:Actor,Skills,Acting,
Entertainer:Animal Act,Skills,Animal Care,
Entertainer:Animal Act,Skills,Animal Training,
Entertainer:Bunko Artist,Skills,Blather,
Entertainer:Bunko Artist,Skills,Palm Object,
Entertainer:Comic,Skills,Comedian,
Entertainer:Comic,Skills,Wit,
Entertainer:Escapologist,Skills,Escapology,
Entertainer:Fire Eater,Skills,Fire Eating,
Entertainer:Fortune Teller,Skills,Palmistry,
Entertainer:Hypnotist,Skills,Hypnotise,
Entertainer:Impressionist,Skills,Mimic,
Entertainer:Jester,Skills,Jest,
Entertainer:Juggler,Skills,Juggle,
Entertainer:Knife Thrower,Skills,Specialist Weapon - Throwing Knife,
Entertainer:Pavement Artist,Skills,Art,
Entertainer:Poet,Skills,Public Speaking,
Entertainer:Singer,Skills,Sing,
Entertainer:Strongman,Skills,Strongman,
Entertainer:Tight Rope Walker,Skills,Acrobatics,
Entertainer:Tight Rope Walker,Skills,Scale Sheer Surface,
Entertainer:Troubadour,Skills,Musicianship,
Entertainer:Troubadour,Skills,Sing,
Entertainer:Ventriloquist,Skills,Ventriloquism,
Entertainer:Wrestler,Skills,Wrestling,
Entertainer,Career Exits,Rogue Class,
Entertainer,Career Exits,Entertainer,
Entertainer:Acrobat,Career Exits,Thief,
Entertainer:Bunko Artist,Career Exits,Charlatan,
Entertainer:Comic,Career Exits,Demagogue,
Entertainer:Fortune Teller,Career Exits,Charlatan,
Entertainer:Hypnotist,Career Exits,Hypnotist,
Entertainer:Strongman,Career Exits,Racketeer,
Entertainer:Tight Rope Walker,Career Exits,Thief,
Entertainer:Troubadour,Career Exits,Minstrel,
Entertainer:Wrestler,Career Exits,Racketeer,
Exciseman,Skills,Blather,
Exciseman,Skills,Numismatics,
Exciseman,Skills,Read/Write,
Exciseman,Skills,Supernumerate,
Exciseman,Skills,Law,50
Exciseman,Skills,Embezzle,20
Exciseman,Career Exits,Agitator,
Exciseman,Career Exits,Lawyer,(Law obtained)
Exciseman,Career Exits,Merchant,
Exciseman,Career Exits,Militiaman,
Exciseman,Career Exits,Outlaw,
Exciseman,Career Exits,Roadwarden,
Exciseman,Career Exits,Thief,(Clipper or Embezzler)
Fisherman,Skills,Fish,
Fisherman,Skills,Sailing,
Fisherman,Skills,Swim,
Fisherman,Skills,River Lore,50
Fisherman,Skills,Boat Building,25
Fisherman,Skills,Cartography,5
Fisherman,Career Exits,Pilot,
Fisherman,Career Exits,Seaman,
Fisherman,Career Exits,Smuggler,
Fisherman,Career Exits,Trader,
Footpad,Skills,Silent Move Rural,
Footpad,Skills,Silent Move Urban,
Footpad,Skills,Strike to Stun,
Footpad,Career Exits,Bodyguard,
Footpad,Career Exits,Fence,
Footpad,Career Exits,Highwayman,
Footpad,Career Exits,Outlaw,
Footpad,Career Exits,Racketeer,
Footpad,Career Exits,Slaver,
Gambler,Skills,Gamble,
Gambler,Skills,Luck,
Gambler,Skills,Palm Object,
Gambler,Career Exits,Charlatan,
Gamekeeper,Career Paths,Ranger,
Gamekeeper,Career Paths,Poacher,
Gamekeeper,Skills,Concealment Rural,
Gamekeeper,Skills,Marksmanship,
Gamekeeper:Poacher,Skills,Secret Sign - Poacher,
Gamekeeper,Skills,Set Trap,
Gamekeeper,Skills,Silent Move Rural,
Gamekeeper,Skills,Spot Traps,
Gamekeeper:Ranger,Skills,Secret Language - Ranger,50
Gamekeeper,Skills,Animal Trainer - Hawk,10
Gamekeeper,Career Exits,Druid,	
Gamekeeper:Ranger,Career Exits,Militiaman,
Gamekeeper:Poacher,Career Exits,Outlaw,
Gamekeeper,Career Exits,Raconteur,
Gamekeeper:Poacher,Career Exits,Rustler,
Gamekeeper,Career Exits,Scout,
Gamekeeper:Ranger,Career Exits,Targeteer,
Graverobber,Skills,Silent Move Rural,
Graverobber,Skills,Silent Move Urban,
Graverobber,Skills,Spot Trap,25
Graverobber,Career Exits,Bodyguard,
Graverobber,Career Exits,Physician's Student,
Graverobber,Career Exits,Rat Catcher,
Herbalist,Skills,Arcane Language - Druidic,
Herbalist,Skills,Cure Disease,
Herbalist,Skills,Heal Wounds,
Herbalist,Skills,Herb Lore,
Herbalist,Skills,Identify Plant,
Herbalist,Skills,Read/Write,
Herbalist,Skills,Secret Language - Classical,
Herbalist,Skills,Secret Language - Guilder,
Herbalist,Skills,Prepare Poisons,20
Herbalist,Career Exits,Physician's Student,
Herbalist,Career Exits,Druid,
Herdsman,Skills,Animal Care, 
Herdsman,Skills,Charm Animal, 
Herdsman,Skills,Musician - Wind Instruments, 
Herdsman,Skills,Specialist Weapon - Sling, 
Herdsman,Skills,Animal Training,50 
Herdsman,Skills,Herb Lore,75 
Herdsman,Skills,Very Resilient,75 
Herdsman,Career Exits,Druid, 
Herdsman,Career Exits,Militiaman,
Herdsman,Career Exits,Outlaw,
Herdsman,Career Exits,Rustler,
Herdsman,Career Exits,Scout,
Hunter,Skills,Concealment Rural,
Hunter,Skills,Follow Trail,
Hunter,Skills,Game Hunting,
Hunter,Skills,Secret Language - Ranger,
Hunter,Skills,Secret Signs - Woodsman's,
Hunter,Skills,Silent Move Rural,
Hunter,Skills,Immunity to Poisons,25
Hunter,Career Exits,Druid,
Hunter,Career Exits,Outlaw,
Hunter,Career Exits,Scout,
Hypnotist,Skills,Hypnotise,
Hypnotist,Skills,Magical Awareness,
Hypnotist,Career Exits,Charlatan,
Hypnotist,Career Exits,Entertainer:Hypnotist,
Hypnotist,Career Exits,Physician,
Initiate,Skills,Read/Write,
Initiate,Skills,Scroll Lore,
Initiate,Skills,Secret Language - Classical,
Initiate,Skills,Theology,
Initiate,Career Exits,Agitator,
Initiate,Career Exits,Cleric,level 1
Jailer,Skills,Immunity to Disease,
Jailer,Skills,Immunity to Poison,
Jailer,Skills,Palm Object,
Jailer,Skills,Silent Move Urban,
Jailer,Skills,Very Resilient,50
Jailer,Skills,Consume Alcohol,25
Jailer,Skills,Very Strong,25
Jailer,Career Exits,Bodyguard,
Jailer,Career Exits,Rat Catcher,
Jailer,Career Exits,Slaver,
Jailer,Career Exits,Torturer,
Labourer,Skills,Scale Sheer Surface,
Labourer,Skills,Consume Alcohol,75
Labourer,Skills,Sing,75
Labourer,Skills,Carpentry,50
Labourer,Skills,Drive Cart,50
Labourer,Skills,Engineering,25
Labourer,Skills,Very Resilient,25
Labourer,Skills,Very Strong,25
Labourer,Career Exits,Artillerist,	
Labourer,Career Exits,Bodyguard,
Labourer,Career Exits,Footpad,
Marine,Skills,Consume Alcohol,
Marine,Skills,Disarm,
Marine,Skills,Dodge Blow,
Marine,Skills,Row,
Marine,Skills,Secret Language - Battle Tongue,
Marine,Skills,Strike Mighty Blow,
Marine,Skills,Strike to Stun,
Marine,Skills,Swim,25
Marine,Career Exits,Artillerist,
Marine,Career Exits,Bounty Hunter,
Marine,Career Exits,Footpad,
Marine,Career Exits,Mercenary Captain,
Marine,Career Exits,Sea Captain,
Marine,Career Exits,Slaver,
Mercenary,Skills,Disarm,
Mercenary,Skills,Dodge Blow,
Mercenary,Skills,Secret Language - Battle Tongue,
Mercenary,Skills,Strike Mighty Blow,
Mercenary,Skills,Strike to Stun,
Mercenary,Skills,Drive Cart,75
Mercenary,Skills,Animal Care,50
Mercenary,Skills,Ride,25
Mercenary,Career Exits,Artillerist,
Mercenary,Career Exits,Gunner,
Mercenary,Career Exits,Mercenary Captain,
Mercenary,Career Exits,Outlaw Chief,
Mercenary,Career Exits,Sapper,
Mercenary,Career Exits,Slaver,
Mercenary,Career Exits,Tunnel Fighter,
Militiaman,Skills,Dodge Blow,
Militiaman,Skills,Strike Mighty Blow,
Militiaman,Skills,Drive Cart,50
Militiaman,Skills,Animal Care,25
Militiaman,Skills,Ride,25
Militiaman,Career Exits,Footpad,
Militiaman,Career Exits,Mercenary,
Militiaman,Career Exits,Outlaw,
Minstrel,Skills,Charm,
Minstrel,Skills,Ettiquette,
Minstrel,Skills,Musicianship,
Minstrel,Skills,Public Speaking,
Minstrel,Skills,Sing,
Minstrel,Career Exits,Charlatan,
Muleskinner,Skills,Animal Care,
Muleskinner,Skills,Specialist - Flail Weapons,
Muleskinner,Skills,Drive Cart,75
Muleskinner,Skills,Animal Training,25
Muleskinner,Career Exits,Outlaw,	
Muleskinner,Career Exits,Scout,
Muleskinner,Career Exits,Smuggler,
Noble,Career Exits,Bawd, 
Noble,Career Exits,Duelist,
Noble,Career Exits,Freelance,
Noble,Career Exits,Gambler,
Noble,Career Exits,Student,
Outlaw,Career Exits,Gamekeeper,
Outlaw,Career Exits,Highwayman,
Outlaw,Career Exits,Outlaw Chief,
Outlaw,Career Exits,Rustler,
Outlaw,Career Exits,Targeteer,
Outrider,Career Exits,Scout,
Outrider,Career Exits,Highwayman,
Outrider,Career Exits,Mercenary,
Pedlar,Career Exits,Bodyguard,
Pedlar,Career Exits,Fence,
Pedlar,Career Exits,Outlaw,
Pedlar,Career Exits,Trader,
Pedlar,Career Exits,Trapper,
Pharmacist,Career Exits,Alchemists' Apprentice,
Pharmacist,Career Exits,Charlatan,
Pharmacist,Career Exits,Physician,
Pharmacist,Career Exits,Prospector,
Physician's Student,Career Exits,Bawd,
Physician's Student,Career Exits,Charlatan,
Physician's Student,Career Exits,Grave Robber,
Physician's Student,Career Exits,Physician,
Pilot,Career Exits,Navigator,
Pilot,Career Exits,Raconteur,
Pilot,Career Exits,Sea Captain,
Pilot,Career Exits,Smuggler,
Pit Fighter,Career Exits,Bounty Hunter,
Pit Fighter,Career Exits,Footpad,
Pit Fighter,Career Exits,Giant Slayer,
Pit Fighter,Career Exits,Judicial Champion,
Pit Fighter,Career Exits,Outlaw Chief,
Pit Fighter,Career Exits,Tunnel Fighter,
Prospector,Career Exits,Scout, 
Prospector,Career Exits,Soldier,
Prospector,Career Exits,Tomb Robber,
Prospector,Career Exits,Tunnel Fighter,
Protagonist,Career Exits,Bounty Hunter,
Protagonist,Career Exits,Duelist,
Protagonist,Career Exits,Footpad,
Protagonist,Career Exits,Judicial Champion,
Raconteur,Career Exits,Charlatan,
Raconteur,Career Exits,Demagogue,
Rat Catcher,Career Exits,Bodyguard, 
Rat Catcher,Career Exits,Footpad,
Rat Catcher,Career Exits,Grave Robber,
Rat Catcher,Career Exits,Jailer,
Roadwarden,Career Exits,Highwayman,
Roadwarden,Career Exits,Militiaman,
Roadwarden,Career Exits,Outlaw,
Runner,Career Exits,Scout,
Runner,Career Exits,Tunnel Fighter,
Rustler,Career Exits,Outlaw,
Rustler,Career Exits,Slaver,
Scribe,Career Exits,Forger,
Scribe,Career Exits,Lawyer,
Scribe,Career Exits,Merchant,
Scribe,Career Exits,Scholar,
Seaman,Career Exits,Boatman, 
Seaman,Career Exits,Pilot,
Seaman,Career Exits,Raconteur,
Seaman,Career Exits,Sea Captain,
Seaman,Career Exits,Slaver,
Seaman,Career Exits,Smuggler,
Seer,Career Exits,Agitator,
Seer,Career Exits,Charlatan,
Servant,Career Exits,Agitator,
Servant,Career Exits,Gamekeeper,
Servant,Career Exits,Scribe,
Servant,Career Exits,Thief,
Smuggler,Career Exits,Fence, 
Smuggler,Career Exits,Pilot,
Smuggler,Career Exits,Seaman,
Soldier,Career Exits,Artillerist,
Soldier,Career Exits,Bounty Hunter,
Soldier,Career Exits,Footpad,
Soldier,Career Exits,Gunner,
Soldier,Career Exits,Mercenary Captain,
Soldier,Career Exits,Slaver,
Soldier,Career Exits,Sapper,
Squire,Career Exits,Freelance,	
Squire,Career Exits,Mercenary Captain,
Student,Career Exits,Agitator,
Student,Career Exits,Bawd,
Student,Career Exits,Lawyer,
Student,Career Exits,Navigator,
Student,Career Exits,Scholar,
Student,Career Exits,Thief,
Thief,Career Paths,Burglar,
Thief,Career Paths,Clipper,
Thief,Career Paths,Embezzler,
Thief,Career Paths,Pickpocket,
Thief,Skills,Concealment Urban,
Thief,Skills,Secret Language - Thieves' Tongue,
Thief,Skills,Secret Signs - Thieves' Signs,
Thief,Skills,Silent Move Rural,
Thief,Skills,Silent Move Urban,
Thief,Skills,Evaluate,25
Thief:Burglar,Skills,Pick Lock,
Thief:Burglar,Skills,Scale Sheer Surface,
Thief:Burglar,Skills,Sense Magical Alarm,
Thief:Burglar,Skills,Spot Trap,
Thief:Clipper,Skills,Palm Object,
Thief:Embezzler,Skills,Palm Object,
Thief:Embezzler,Skills,Read/Write,50
Thief:Embezzler,Skills,Super Numberate,25
Thief:Pickpocket,Skills,Flee!,
Thief:Pickpocket,Skills,Palm Object,
Thief:Pickpocket,Skills,Pick Pocket,
Thief,Career Exits,Bodyguard,
Thief,Career Exits,Charlatan,
Thief,Career Exits,Outlaw,
Thief,Career Exits,Racketeer,
Thief:Burglar,Career Exits,Bodyguard,
Thief:Burglar,Career Exits,Fence,
Thief:Clipper,Career Exits,Counterfeiter,
Thief:Clipper,Career Exits,Fence,
Thief:Embezzler,Career Exits,Fence,
Thief:Embezzler,Career Exits,Scribe,
Thief:Embezzler,Career Exits,Trader,
Thief:Pickpocket,Career Exits,Bodyguard,
Thief:Pickpocket,Career Exits,Fence,
Toll Keeper,Skills,Evaluate,
Toll Keeper,Skills,Haggle,
Toll Keeper,Career Exits,Highwayman,
Toll Keeper,Career Exits,Militiaman,
Toll Keeper,Career Exits,Outlaw,
Toll Keeper,Career Exits,Thief:Embezzler,
